MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
V2NOH,,,1,,,,,,,,1,,,,1,,1,,,,-0.32,327,0.797,3.054,3.035
Cr2NO2,,,,1,,,,,,,1,,,1,,,1,,,,1.44,327,0.632,2.866,2.98
Cr2COH,,,,1,,,,,,1,,,,,1,,1,,,,-0.3,327,0.793,3.032,3.074
V2CF2,,,1,,,,,,,1,,1,,,,,1,,,,0.92,323,0.603,2.978,3.039
Cr2NOH,,,,1,,,,,,,1,,,,1,,1,,,,-0.35,323,0.788,3.033,3.011
V2NF2,,,1,,,,,,,,1,1,,,,,1,,,,0.96,319,0.661,3.043,3.119
Cr2CF2,,,,1,,,,,,1,,1,,,,,1,,,,1.43,319,0.674,3.021,3.14
Cr2NF2,,,,1,,,,,,,1,1,,,,,1,,,,1.46,315,0.66,3.036,3.119
Zr2C,,,,,1,,,,,1,,,,,,1,1,,,,0.45,257,0.793,3.28,3.339
Zr2N,,,,,1,,,,,,1,,,,,1,1,,,,0.51,255,0.786,3.25,3.268
Zr2CH2,,,,,1,,,,,1,,,1,,,,1,,,,-0.18,255,0.819,3.317,3.317
Nb2C,,,,,,1,,,,1,,,,,,1,1,,,,0.52,253,0.772,3.119,3.15
Zr2NH2,,,,,1,,,,,,1,,1,,,,1,,,,-0.03,252,0.804,3.253,3.255
Nb2N,,,,,,1,,,,,1,,,,,1,1,,,,0.55,251,0.767,3.137,3.116
Nb2CH2,,,,,,1,,,,1,,,1,,,,1,,,,0.19,251,0.774,3.115,3.141
Nb2NH2,,,,,,1,,,,,1,,1,,,,1,,,,0.17,248,0.756,2.957,3.089
Mo2C,,,,,,,1,,,1,,,,,,1,1,,,,0.64,246,0.749,3.005,3.053
